CustomerID,First_Name,Last_Name,Phone_Number,Age,Email,Total_Purchases,Last_Purchase_Amount,Gender,Feedback_Score,Registration_Date
1001,Frodo,Baggins,123-545-5421,56,frodo.baggins@example.com,5.0,$100.50,M,8.0,03/16/2021
1002,Abed,Nadir,123/643/9775,46,abed.nadir@example.com,3.0,75,F,9.0,01/21/2020
1003,Walter,/White,7066950392,32,walter./white@example.com,7.0,$250.00,Male,6.0,08/13/2021
1004,Dwight,Schrute,123-543-2345,60,dwight.schrute@example.com,,None,Female,,10/04/2019
1005,Jon,Snow,876|678|3469,25,jon.snow@example.com,10.0,$500,F,7.0,04/04/2020
1006,Ron,Swanson,304-762-2467,38,ron.swanson@example.com,12.0,300,Male,10.0,01/22/2019
1007,Jeff,Winger,,56,jeff.winger@example.com,6.0,200,Other,5.0,09/10/2019
1008,Sherlock,Holmes,876|678|3469,36,sherlock.holmes@example.com,2.0,120.5,Unknown,,01/17/2021
1009,Gandalf,,N/a,40,gandalf.@example.com,,$50,M,8.0,05/06/2021
1010,Peter,Parker,123-545-5421,28,peter.parker@example.com,0.0,0,F,6.0,04/19/2020
1011,Samwise,Gamgee,,28,samwise.gamgee@example.com,8.0,$150.25,F,9.0,12/18/2021
1012,Harry,...Potter,7066950392,41,harry....potter@example.com,15.0,None,Male,7.0,05/25/2020
1013,Don,Draper,123-543-2345,53,don.draper@example.com,9.0,80.75,Female,4.0,11/30/2020
1014,Leslie,Knope,876|678|3469,57,leslie.knope@example.com,4.0,$90,M,10.0,09/02/2021
1015,Toby,Flenderson_,304-762-2467,41,toby.flenderson_@example.com,,$110,Male,,07/09/2019
1016,Ron,Weasley,123-545-5421,20,ron.weasley@example.com,13.0,400,Other,3.0,08/15/2021
1017,Michael,Scott,123/643/9775,39,michael.scott@example.com,1.0,None,Unknown,6.0,11/17/2020
1018,Clark,Kent,7066950392,19,clark.kent@example.com,3.0,$35.50,Female,,08/15/2021
1019,Creed,Braton,N/a,41,creed.braton@example.com,,None,M,9.0,07/16/2020
1020,Anakin,Skywalker,876|678|3469,61,anakin.skywalker@example.com,5.0,250,F,7.0,04/11/2021
1020,Anakin,Skywalker,876|678|3469,47,anakin.skywalker@example.com,11.0,$180,Unknown,8.0,10/08/2020
